Description;Points;Title;Price;Designation;Variety;Country;Winery;Taster;Alcohol;Bottle size;Category;Importer;Date published;Region;City
Eucalyptus, black-skinned-berry and violet aromas mingle with whiffs of new leather and truffle. Juicy and savory, the medium-bodied palate offers ripe Marasca cherry, spiced cranberry and licorice framed in taut refined tannins. Drink through 2024. KERIN O’KEEFE;92;Sandrone 2017 Valmaggiore (Nebbiolo d'Alba);$55;Valmaggiore;Nebbiolo;Nebbiolo d'Alba, Piedmont, Italy;Sandrone;KERIN O’KEEFE;14%;750 ml;Red;Vintus LLC;11/1/2020;Piedmont;Nebbiolo d'Alba
Underbrush, tilled soil, camphor and new leather aromas mingle together in the glass. Firmly structured and austere, the linear palate features sour cherry, orange zest and licorice alongside tightly wound fine-grained tannins. Drink 2021–2027. KERIN O’KEEFE;91;Torraccia del Piantavigna 2015 Gattinara;$40;;Nebbiolo;Gattinara, Piedmont, Italy;Torraccia del Piantavigna;KERIN O’KEEFE;13.5%;750 ml;Red;Empson USA Ltd;11/1/2020;Piedmont;Gattinara
Mediterranean scrub, honeydew and citrus aromas lift out of the glass on this savory white. On the refreshing palate, bright acidity underscores wild herbs, grapefruit and green melon alongside tangy saline notes. A hint of white almond lingers on the close. KERIN O’KEEFE;91;Donnafugata 2019 Sur Sur Grillo (Sicilia);$21;Sur Sur;Grillo, Italian White;Sicilia, Sicily & Sardinia, Italy;Donnafugata;KERIN O’KEEFE;13%;750 ml;White;Folio Fine Wine Partners;11/1/2020;Sicily & Sardinia;Sicilia
Aromas of ripe dark-skinned berry, truffle and botanical herb waft out of the glass along with whispers of melted chocolate and dark spice. On the elegantly structured palate, taut fine-grained tannins accompany dried black cherry, licorice and tobacco. KERIN O’KEEFE;91;Bianchi 2011 Ghemme;$19;;Nebbiolo;Ghemme, Piedmont, Italy;Bianchi;KERIN O’KEEFE;13.5%;750 ml;Red;Votto Vines Importing;11/1/2020;Piedmont;Ghemme
Fresh and delicious, this fun rosato has aromas and flavors of pink grapefruit, wild red berries, Mediterranean scrub and saline. Crisp acidity gives it a dry but tangy close. You'll need more than one bottle of this for sure. KERIN O’KEEFE;91;Funaro 2019 Rosato (Sicilia);$10;;Rosato, Rosé;Sicilia, Sicily & Sardinia, Italy;Funaro;KERIN O’KEEFE;12%;750 ml;Rose;Transparent Wine Company;11/1/2020;Sicily & Sardinia;Sicilia
Aromas of hazelnut, scorched earth and underbrush mingle with a whiffs of pressed rose and mint. The palate is rather austere, showing unripe sour cherry, orange peel, clove and a hint of tobacco leaf alongside firm acidity and fine-grained drying tannins before closing on a salty saline note. It cries out for food. KERIN O’KEEFE;90;Tenute Sella 2013 Lessona;$35;;Red Blends, Red Blends;Lessona, Piedmont, Italy;Tenute Sella;KERIN O’KEEFE;13%;750 ml;Red;de Grazia Imports, LLC;11/1/2020;Piedmont;Lessona
Aromas of wild herb, hay, beeswax and white stone fruit form the nose. Rounded and medium bodied, the fresh palate offers mature yellow apple and Bartlett pear before a honey-almond finish. KERIN O’KEEFE;90;Torraccia del Piantavigna 2019 Erbavoglio Erbaluce (Colline Novaresi);$16;Erbavoglio;Erbaluce, Italian White;Colline Novaresi, Piedmont, Italy;Torraccia del Piantavigna;KERIN O’KEEFE;13%;750 ml;White;Empson USA Ltd;11/1/2020;Piedmont;Colline Novaresi
Aromas of Spanish broom with a whiff of red berry are behind the delicate nose. On the round, medium-bodied palate, fennel notes back up pomegranate and red cherry before a salty close. KERIN O’KEEFE;87;Vigne Chigi 2019 Rosa Canina Pallagrello Nero Rosato (Terre del Volturno);$20;Rosa Canina Pallagrello Nero;Rosato, Rosé;Terre del Volturno, Southern Italy, Italy;Vigne Chigi;KERIN O’KEEFE;13.5%;750 ml;Rose;Cantiniere Imports & Distributing, Inc.;10/1/2020;Southern Italy;Terre del Volturno
Bright aromas of balsamic-dipped cherries, crushed black pepper and anise form the nose of this accessible red. It's light and zesty on the palate, driven by jammy cherry and blackberry flavors that are lifted and pure. Fine tannins lend some grip to the feel, while an orange marmalade tone arises on the finish. ALEXANDER PEARTREE;87;Tormaresca 2018 Nèprica Primitivo (Puglia);$12;Nèprica;Primitivo, Zinfandel;Puglia, Southern Italy, Italy;Tormaresca;ALEXANDER PEARTREE;14.5%;750 ml;Red;Ste. Michelle Wine Estates;10/1/2020;Southern Italy;Puglia
Subtle aromas suggesting medicinal herb and citrus lead the nose. On the racy, linear palate, firm acidity accompanies Meyer lemon, pear and a hint of saline. KERIN O’KEEFE;87;Cantine di Marzo 2018 Linea Stemma (Greco di Tufo);$16;Linea Stemma;Greco, Italian White;Greco di Tufo, Southern Italy, Italy;Cantine di Marzo;KERIN O’KEEFE;13%;750 ml;White;Omniwines Distribution;10/1/2020;Southern Italy;Greco di Tufo
This vibrant white has subtle aromas suggesting botanical herb, citrus and acacia honey. The honeyed note follows over to the lean, racy palate along with hints of pear, lemon and bitter almond. KERIN O’KEEFE;87;Cantine di Marzo 2019 Linea Stemma (Fiano di Avellino);$16;Linea Stemma;Fiano, Italian White;Fiano di Avellino, Southern Italy, Italy;Cantine di Marzo;KERIN O’KEEFE;13%;750 ml;White;Omniwines Distribution;10/1/2020;Southern Italy;Fiano di Avellino
This blend of Pampanuto and Bombino Bianco offers bright aromas of candied lemon blossoms and freshly cut Gala apple, with a bit of melon richness filling it out. Medium in weight, the palate is well balanced in flavors of citrus, melon and apple, while bright acidity keeps it feeling fresh and crisp. ALEXANDER PEARTREE;87;Crifo 2019 Bianco White (Castel del Monte);$13;Bianco;White Blend;Castel del Monte, Southern Italy, Italy;Crifo;ALEXANDER PEARTREE;11.5%;750 ml;White;Pullano Imports;10/1/2020;Southern Italy;Castel del Monte
Subtle aromas evoking beeswax and spring flowers form the delicate nose. On the linear palate, bright acidity accompanies mature yellow pear and a savory, saline-like mineral note. KERIN O’KEEFE;87;Pighin 2019 Pinot Grigio (Collio);$25;;Pinot Grigio;Collio, Northeastern Italy, Italy;Pighin;KERIN O’KEEFE;13.5%;750 ml;White;Kobrand;10/1/2020;Northeastern Italy;Collio
This opens with aromas of tobacco, violet and baked plum along with a whiff of scorched earth. The lean palate reflects the extreme heat of the vintage, offering suggestions of prune, clove and a gamy note alongside grainy but fleeting tannins that leave a mouthdrying close. Drink soon. KERIN O’KEEFE;87;Rattalino 2017 Barbaresco;$23;;Nebbiolo;Barbaresco, Piedmont, Italy;Rattalino;KERIN O’KEEFE;14%;750 ml;Red;Ribevi Wine Int;10/1/2020;Piedmont;Barbaresco
This has aromas of French oak, graphite, violet and scorched forest floor that follow on to the evolved, rather abrupt palate along with prune and toasted hazelnut. Grainy tannins leave a lean, astringent finish. KERIN O’KEEFE;87;Scilio 2014 1815 (Etna);$60;1815;Red Blends, Red Blends;Etna, Sicily & Sardinia, Italy;Scilio;KERIN O’KEEFE;14%;750 ml;Red;Deutsch Family Wine and Spirits;10/1/2020;Sicily & Sardinia;Etna
Aromas of grapefruit, elderflower and tropical fruit jump out of the glass. The grapefruit note carries over to the tangy palate along with ripe green melon and bright acidity. KERIN O’KEEFE;87;Seiterre 2019 Lugana;$18;;Turbiana, Italian White;Lugana, Lombardy, Italy;Seiterre;KERIN O’KEEFE;13%;750 ml;White;John Vestri;10/1/2020;Lombardy;Lugana
Bright, easy aromas of cherry coulis and blackberry jam form the nose, alongside integrated tones of violet and peppery spice. Medium in weight, the palate is smooth and juicy in rich cherry and berry flavors, with an accent of tar and spice. The tannins are mellowed and polished, while the acidity lively and bright. It's not very complex, or intense, but is still quite enjoyable and balanced. ALEXANDER PEARTREE;87;Verso 2019 Primitivo di Manduria;$30;;Primitivo, Zinfandel;Primitivo di Manduria, Southern Italy, Italy;Verso;ALEXANDER PEARTREE;14%;750 ml;Red;Votto Vines Importing;10/1/2020;Southern Italy;Primitivo di Manduria
This has a shy nose that eventually offers mere whiffs of yellow wildflowers and white stone fruit. The palate is also subdued, suggesting mature peach before a bitter almond close. KERIN O’KEEFE;86;Ascevi Luwa 2018 Pinot Grigio (Collio);$18;;Pinot Grigio;Collio, Northeastern Italy, Italy;Ascevi Luwa;KERIN O’KEEFE;13%;750 ml;White;Quintessential Wines;10/1/2020;Northeastern Italy;Collio
This has aromas of weedy underbrush, used leather and moist soil. The lean palate is already evolved, suggesting prune, blood orange and the barest hint of roasted coffee bean alongside grainy, fleeting tannins. KERIN O’KEEFE;86;Poderi Elia 2016 Serracapelli (Barbaresco);$57;Serracapelli;Nebbiolo;Barbaresco, Piedmont, Italy;Poderi Elia;KERIN O’KEEFE;14%;750 ml;Red;August Wine Group;10/1/2020;Piedmont;Barbaresco
Banana and elderflower aromas leap to the forefront. The banana note follows on the tangy palate along with green apple and tangy acidity. It's simple but well-made. KERIN O’KEEFE;86;Villa Girardi 2019 Pinot Grigio (Delle Venezie);$19;;Pinot Grigio;Delle Venezie, Northeastern Italy, Italy;Villa Girardi;KERIN O’KEEFE;12%;750 ml;White;Montcalm Wine Importers;10/1/2020;Northeastern Italy;Delle Venezie
Red berry and spring wildflower aromas lift out of the glass. On the tangy palate, vibrant acidity accompanies sour cherry and pomegranate before a crisp close. KERIN O’KEEFE;86;Monte Zovo 2019 Bardolino Chiaretto;$11;;Red Blends, Red Blends;Bardolino Chiaretto, Veneto, Italy;Monte Zovo;KERIN O’KEEFE;12.5%;750 ml;Rose;Monte Zovo USA;10/1/2020;Veneto;Bardolino Chiaretto
Bright aromas of cherry, berry and bubblegum spices carry lots of intensity on the nose. This is full and fruity on the palate, showing a supple, juicy mouthfeel of cherry and berry flavors. It doesn't offer much else, but is a well-balanced, tasty offering. ALEXANDER PEARTREE;86;Danti 2017 Primitivo (Puglia);$28;;Primitivo, Zinfandel;Puglia, Southern Italy, Italy;Danti;ALEXANDER PEARTREE;15%;750 ml;Red;Votto Vines Importing;10/1/2020;Southern Italy;Puglia
This has a shy nose that eventually reveals whiffs of spring flowers and almond. On the easygoing palate, crisp acidity accompanies suggestions of apricot and sour cherry. It's simple but well-made. KERIN O’KEEFE;86;Villabella 2019 Classico (Bardolino Chiaretto);;Classico;Red Blends, Red Blends;Bardolino Chiaretto, Veneto, Italy;Villabella;KERIN O’KEEFE;12%;750 ml;Rose;Lentino Imports;10/1/2020;Veneto;Bardolino Chiaretto
This simple white has subtle aromas of honeysuckle and passion fruit. The fruity palate mirrors the nose, offering tropical fruit and honeydew alongside tangy acidity. It closes on a bitter almond note. KERIN O’KEEFE;86;Monte Zovo 2019 Le Civaie (Lugana);$17;Le Civaie;Turbiana, Italian White;Lugana, Lombardy, Italy;Monte Zovo;KERIN O’KEEFE;13%;750 ml;White;Monte Zovo USA;10/1/2020;Lombardy;Lugana
A delicate nose of white blossoms, pollen and citrus holds a hint of herbal spice in the background. Creamy on the palate, it shows subdued flavors of strawberry and melon, ending short but refreshing. ALEXANDER PEARTREE;86;Vespa 2019 Flarò il Rosa dei Vespa Rosato (Salento);$20;Flarò il Rosa dei Vespa;Rosato, Rosé;Salento, Southern Italy, Italy;Vespa;ALEXANDER PEARTREE;12%;750 ml;Rose;Ethica Wines;10/1/2020;Southern Italy;Salento
Very lively aromas of cherry and bubblegum spice carry the nose, while the palate is equally fruit driven. Gentle tannins give a frame to the soft cherry-laden body, with juicy acidity and orange spice tones lifting it all up. ALEXANDER PEARTREE;86;Vespa 2019 Il Bruno di Vespa Primitivo (Salento);$20;Il Bruno di Vespa;Primitivo, Zinfandel;Salento, Southern Italy, Italy;Vespa;ALEXANDER PEARTREE;14%;750 ml;Red;Ethica Wines;10/1/2020;Southern Italy;Salento
This has subtle aromas suggesting beeswax and broom. It's brisk and light bodied, offering acacia honey, hazelnut and bitter yellow apple skin alongside firm acidity. KERIN O’KEEFE;86;Federico Curtaz 2017 Ca Gamma (Etna);$45;Ca Gamma;White Blend;Etna, Sicily & Sardinia, Italy;Federico Curtaz;KERIN O’KEEFE;12.5%;750 ml;White;Jan D'Amore Wines;10/1/2020;Sicily & Sardinia;Etna
Delicate aromas of red berry and spring wildflowers waft out of the glass. Simple but well-made, the bright palate offers raspberry and strawberry alongside crisp acidity. KERIN O’KEEFE;86;Santa Sofia 2019 Classico (Bardolino Chiaretto);;Classico;Red Blends, Red Blends;Bardolino Chiaretto, Veneto, Italy;Santa Sofia;KERIN O’KEEFE;12.5%;750 ml;Rose;1_Not Imported into US;10/1/2020;Veneto;Bardolino Chiaretto
Aromas suggesting ripe pear and exotic fruit shape the delicate nose. Mirroring the nose, the simple palate offers yellow apple and honeydew accompanied by lively acidity. KERIN O’KEEFE;86;Tommasi 2019 Il Fornaci (Lugana);$20;Il Fornaci;Turbiana, Italian White;Lugana, Lombardy, Italy;Tommasi;KERIN O’KEEFE;12.5%;750 ml;White;Vintus LLC;10/1/2020;Lombardy;Lugana
A blend of Bombino Bianco and Chardonnay, this white offers crisp aromas of apple and citrus, with hints of smoke and stone chiming in. The palate is rounded out by a pleasing melon tone, with lemon peel and walnut skin flavors giving a slightly bitter edge. ALEXANDER PEARTREE;86;Villa Schinosa 2018 Pezza del Vado Bianco White (Puglia);$15;Pezza del Vado Bianco;White Blend;Puglia, Southern Italy, Italy;Villa Schinosa;ALEXANDER PEARTREE;12.5%;750 ml;White;Massanois Imports;10/1/2020;Southern Italy;Puglia
Aromas of bright cherry, anise and cinnamon start off this straightforward red. This is light in feel and fruity on the palate in bouncy cherry and berry flavors. It shows a nice balance but is ultimately quite simple. It's a great buy as a weekday red. ALEXANDER PEARTREE;86;Rivera 2018 Negroamaro (Salento);$11;;Negroamaro, Italian Red;Salento, Southern Italy, Italy;Rivera;ALEXANDER PEARTREE;13.5%;750 ml;Red;Liber USA;10/1/2020;Southern Italy;Salento
This full, fleshy red is built by strong seams of cocoa and anise alongside a rich dark-berry jam core. Polished tannins and lifted acidity lend ample structure, but the warm spice dominate the fruit. ALEXANDER PEARTREE;86;Amastuola 2017 Lamarossa Primitivo (Puglia);$18;Lamarossa;Primitivo, Zinfandel;Puglia, Southern Italy, Italy;Amastuola;ALEXANDER PEARTREE;14.5%;750 ml;Red;Tuscan Vineyard Imports LLC;10/1/2020;Southern Italy;Puglia
Aromas of tropical fruit and honeysuckle lead the nose. On the fresh, simple palate, bright acidity accompanies pear, honeydew and pineapple. KERIN O’KEEFE;86;Terre d'Aione 2019 Fiano di Avellino;$18;;Fiano, Italian White;Fiano di Avellino, Southern Italy, Italy;Terre d'Aione;KERIN O’KEEFE;13%;750 ml;White;Arte Vino;10/1/2020;Southern Italy;Fiano di Avellino
Aromas of dried cranberry and red cherry meld with hints of tilled earth and violet on the nose. It's light and juicy on the palate, with a mix of tart red and black berry flavors that carry a slight raisinated edge. The acidity is persistent and fresh, keeping everything lifted until the brisk, spicy close. ALEXANDER PEARTREE;86;Vigneti del Salento 2018 I Muri Primitivo (Puglia);$13;I Muri;Primitivo, Zinfandel;Puglia, Southern Italy, Italy;Vigneti del Salento;ALEXANDER PEARTREE;14%;750 ml;Red;Gonzalez Byass USA;10/1/2020;Southern Italy;Puglia
The shy nose eventually reveals whiffs of spring wildflowers while the light-bodied, informal palate offers hints of sour cherry and strawberry. Crisp acidity gives it a fresh finish. KERIN O’KEEFE;85;Antica Corte 2019 Bardolino Chiaretto;$10;;Red Blends, Red Blends;Bardolino Chiaretto, Veneto, Italy;Antica Corte;KERIN O’KEEFE;12%;750 ml;Rose;Saranty Imports;10/1/2020;Veneto;Bardolino Chiaretto
This has a shy nose that eventually reveals whiffs of spring flowers and the barest hint of tropical fruit. On the extremely simple, light-bodied palate, fresh acidity accompanies suggestions of peach and bitter almond. KERIN O’KEEFE;85;Tinazzi 2019 Tarciso (Lugana);;Tarciso;White Blend;Lugana, Lombardy, Italy;Tinazzi;KERIN O’KEEFE;12.5%;750 ml;White;Caput Mundi Wine Import;10/1/2020;Lombardy;Lugana
This simple, light-bodied wine has a shy nose that suggests spring wildflowers and red berry. On the lively, informal palate, brisk acidity accompanies candied cherry notes. KERIN O’KEEFE;85;Tommasi 2019 Granara (Bardolino Chiaretto);$18;Granara;Red Blends, Red Blends;Bardolino Chiaretto, Veneto, Italy;Tommasi;KERIN O’KEEFE;12%;750 ml;Rose;Vintus LLC;10/1/2020;Veneto;Bardolino Chiaretto
Subdued aromas suggesting red berry and a whiff of field flowers form the shy nose. It's simple and light bodied, suggesting sour cherry and citrus alongside bright acidity. KERIN O’KEEFE;85;Menegotti 2019 Bardolino Chiaretto;$14;;Red Blends, Red Blends;Bardolino Chiaretto, Veneto, Italy;Menegotti;KERIN O’KEEFE;12%;750 ml;Rose;Vignaioli Selection;10/1/2020;Veneto;Bardolino Chiaretto
The shy nose doesn't give much away, while the informal, rather diluted palate suggests citrus and pear. It closes on a bitter note. KERIN O’KEEFE;85;Villa Girardi 2019 Lugana;$19;;Turbiana, Italian White;Lugana, Lombardy, Italy;Villa Girardi;KERIN O’KEEFE;12%;750 ml;White;Petrea Imports;10/1/2020;Lombardy;Lugana
This simple white has a shy nose offering whiffs of spring flowers and white stone fruit. It's bright and informal, offering suggestions of green apple and citrus alongside brisk acidity. KERIN O’KEEFE;85;Tommasi 2019 Le Rosse Pinot Grigio (Delle Venezie);$18;Le Rosse;Pinot Grigio;Delle Venezie, Northeastern Italy, Italy;Tommasi;KERIN O’KEEFE;12%;750 ml;White;Vintus LLC;10/1/2020;Northeastern Italy;Delle Venezie
This is really lightweight for Barbaresco, offering suggestions of fleshy black cherry and a hint of spice. Loose, dusty and fleeting tannins provide the relaxed, short framework. Drink now. KERIN O’KEEFE;85;Villadoria 2017 Barbaresco;$32;;Nebbiolo;Barbaresco, Piedmont, Italy;Villadoria;KERIN O’KEEFE;14%;750 ml;Red;WinesU;10/1/2020;Piedmont;Barbaresco
This offers aromas of spring blossoms and red berry. It's bright and simple, offering sour cherry and strawberry alongside fresh acidity. KERIN O’KEEFE;85;Monte Zovo 2019 Phasianus Corvina (Veronese);$17;Phasianus;Corvina, Italian Red;Veronese, Veneto, Italy;Monte Zovo;KERIN O’KEEFE;13%;750 ml;Rose;Monte Zovo USA;10/1/2020;Veneto;Veronese
Delicately scented, this has light aromas of sour cherry and spring blossoms. The light-bodied, informal palate suggests tangy sour cherry set against crisp acidity. KERIN O’KEEFE;85;Seiterre 2019 Bardolino Chiaretto;;;Red Blends, Red Blends;Bardolino Chiaretto, Veneto, Italy;Seiterre;KERIN O’KEEFE;12.5%;750 ml;Rose;John Vestri;10/1/2020;Veneto;Bardolino Chiaretto
White spring flower and exotic fruit aromas take center stage on this informal white. The simple palate offers suggestions of pineapple and green melon alongside crisp acidity. KERIN O’KEEFE;85;Terre d'Aione 2019 Greco di Tufo;$18;;Greco, Italian White;Greco di Tufo, Southern Italy, Italy;Terre d'Aione;KERIN O’KEEFE;13%;750 ml;White;Arte Vino;10/1/2020;Southern Italy;Greco di Tufo
Aromas of graphite, hazelnut and scorched earth form the subtle nose. The lean palate is already evolved, showing mere suggestions of unripe berry, citrus, saline and roasted coffee bean. Astringent tannins give it an abrupt, mouthdrying close. KERIN O’KEEFE;85;Valenti 2015 Norma (Etna);$20;Norma;Nerello Mascalese, Italian Red;Etna, Sicily & Sardinia, Italy;Valenti;KERIN O’KEEFE;13%;750 ml;Red;Vino Veritas;10/1/2020;Sicily & Sardinia;Etna
This textbook, dream Barolo opens with quintessential aromas of underbrush, rose petal, dried herb and forest berry while the youthfully austere, delicious palate delivers juicy Marasca cherry, raspberry compote, licorice and menthol before a tobacco finish. Noble tannins give it a firm, polished backbone while bright acidity keeps it balanced and imparts ageworthy energy. Drink 2026–2066. KERIN O’KEEFE;100;Giovanni Rosso 2016 Ester Canale Rosso Poderi dell'Antica Vigna Rionda (Barolo);$450;Ester Canale Rosso Poderi dell'Antica Vigna Rionda;Nebbiolo;Barolo, Piedmont, Italy;Giovanni Rosso;KERIN O’KEEFE;14%;750 ml;Red;Vias Imports;9/1/2020;Piedmont;Barolo
Rose, pine forest, wild berry, new leather and star anise are just some of the aromas you'll find on this drop-dead gorgeous wine. Firmly structured, elegant and thoroughly delicious, the radiant palate shows restraint and depth. It delivers juicy Marasca cherry, raspberry compote, licorice and tobacco against tightly knit, noble tannins while fresh acidity keeps it impeccably balanced. It's focused and compelling, but hold for even more complexity. An absolutely stellar showing. Drink 2026–2056. KERIN O’KEEFE;100;Brovia 2016 Brea Vigna Ca' Mia (Barolo);$106;Brea Vigna Ca' Mia;Nebbiolo;Barolo, Piedmont, Italy;Brovia;KERIN O’KEEFE;14.5%;750 ml;Red;Rosenthal Wine Merchant;9/1/2020;Piedmont;Barolo
Aromas of rose, red berry, dark spice, smoke and wild herb shape the nose on this structured red. Intense and loaded with finesse, the radiant, focused palate doles out ripe red cherry, cranberry, licorice, tobacco and menthol. Vibrant acidity and a mineral vein create youthful tension while firm polished tannins lend seamless support. Drink 2024–2046. KERIN O’KEEFE;99;Comm. G. B. Burlotto 2016 Monvigliero (Barolo);$100;Monvigliero;Nebbiolo;Barolo, Piedmont, Italy;Comm. G. B. Burlotto;KERIN O’KEEFE;14.5%;750 ml;Red;Bacchanal Wine Imports;9/1/2020;Piedmont;Barolo
